Vezetéknév,Keresztnév,Telefonszám,E-mail cím,Stáb,Kezdés éve,Tagozat,Rádió,Gyártásvezető?,Médiatanár,Osztályfőnök,Osztályai
Nagy,Imre,+36301234567,nagy.imre.25f@szlgbp.hu,B stáb,2025,F,,,,,
Kis,Péter,+36301234568,kis.peter.25f@szlgbp.hu,A stáb,2025,F,,,,,
Kovács,Anna,+36301234569,kovacs.anna.24f@szlgbp.hu,B stáb,2024,F,B3,,,,
Tóth,János,+36301234570,toth.janos.24f@szlgbp.hu,A stáb,2024,F,,Igen,,,
Szabó,Mária,+36301234571,szabo.maria.23f@szlgbp.hu,B stáb,2023,F,A1,,,,
Németh,László,+36301234572,nemeth.laszlo.23f@szlgbp.hu,A stáb,2023,F,,,,,
Varga,Eszter,+36301234573,varga.eszter.22f@szlgbp.hu,B stáb,2022,F,,,,,
Molnár,Gábor,+36301234574,molnar.gabor.22f@szlgbp.hu,A stáb,2022,F,B4,,,,
Horváth,Bence,+36301234575,horvath.bence@szlgbp.hu,,,,,Igen,Igen,2025F
Csanádi,Ágnes,,csanadi.agnes@szlgbp.hu,,,,,,Igen,2024F
Kiss,Tamás,+36301234576,kiss.tamas@szlgbp.hu,,,,,Igen,Igen,2023F
Papp,Zoltán,,papp.zoltan@szlgbp.hu,,,,,Igen,,2022F
